Core-index,Vocab-KO-Index,Sent-KO-Index,New-Opt-Voc-Index,Opt-Voc-Index,Opt-Sen-Index,jlpt ,Vocab-expression,Vocab-kana,Vocab-meaning,Vocab-sound-local,Vocab-pos,Sentence-expression,Sentence-kana,Sentence-meaning,Sentence-sound-local,Sentence-image-local,Vocab-furigana,Sentence-furigana,Sentence-Cloze
53,1,2,2,1,1,JLPT4,一つ,ひとつ,one (thing),[sound:bdc5f88b912f85251908f1cfa5efc115.mp3],Noun,それを<b>一つ</b>ください。,それ を <b>ひとつ</b> ください,Please give me one of those.,[sound:883f02075c189378649e6a6dd0cc8b56.mp3],"<img src=""5bc1eb1402a031d217529ad457f9f254.jpg"" />",一[ひと]つ,それを<b> 一[ひと]つ</b>ください。,それを<b>（　）</b>ください。
294,2,3,5,4,2,JLPT4,二つ,ふたつ,two (things),[sound:dd64f3d4753f3227f10e0804732d1bef.mp3],Noun,ソフトクリームを<b>二つ</b>ください。,そふとくりーむ を <b>ふたつ</b> ください,Please give me two ice cream cones.,[sound:c9923552ab128a6f133c9667204965d9.mp3],"<img src=""ddb1df63551118f25aaa21c44babd4e7.jpg"" />",二[ふた]つ,ソフトクリームを<b> 二[ふた]つ</b>ください。,ソフトクリームを<b>（　）</b>ください。
397,16,17,29,28,3,JLPT2,円,えん,yen,[sound:91dbd62e022f5f1cf8a1daf1a9c9be70.mp3],Noun,カレーライスは700<b>円</b>です。,かれーらいす は ななひゃく<b>えん</b> です,The curry and rice is 700 yen.,[sound:4d622a5082224929662c3cbe0669a232.mp3],"<img src=""36d080a653bd0c40edf92694ccf33574.jpg"" />",円[えん],カレーライスは 700[ななひゃく]<b> 円[えん]</b>です。,カレーライスは 700[ななひゃく]<b>（　）</b>です。
342,24,25,49,48,4,JLPT2,金,かね,money,[sound:dcd1fb9489ccaf71922c4819bc6a1e4d.mp3],Noun,これはかなり<b>金</b>がかかった。,これ は かなり <b>かね</b> が かかった,This cost quite a bit of money.,[sound:1e25d6633f8901d93cfe7c9759e8dfb6.mp3],"<img src=""b11ce990d796fe1c98c5f0374c93df19.jpg"" />",金[かね],これはかなり<b> 金[かね]</b>がかかった。,これはかなり<b>（　）</b>がかかった。
6,0,0,8,15,5,JLPT4,これ,これ,"this, this one",[sound:2c7798cf0deb60adc96816f6a1ad2bb1.mp3],Noun,<b>これ</b>をください。,<b>これ</b>をください。,I'll have this please.,[sound:5ed01bf0c9bb4842ac2deadfa495f772.mp3],"<img src=""f64076a17c175e6954d0dd8fa1c8ea70.jpg"" />",これ,<b>これ</b>をください。,<b>（　）</b>をください。
293,26,27,58,57,6,JLPT4,水曜日,すいようび,Wednesday,[sound:d319998cd10340e81b43417b74f2ee29.mp3],Noun,<b>水曜日</b>はバイトがあります。,<b>すいようび</b> は ばいと が あります,I have a part-time job on Wednesdays.,[sound:83a0e58d27c06208035abfda39ab1fec.mp3],"<img src=""c5be6b9b4889164a74b49896791f2e56.jpg"" />",水曜日[すいようび],<b> 水曜日[すいようび]</b>はバイトがあります。,<b>（　）</b>はバイトがあります。
275,0,31,261,271,7,JLPT4,あれ,あれ,that over there,[sound:c7ebca148c5293d1a0c7a004c182eba7.mp3],Noun,<b>あれ</b>は何ですか。,<b>あれ</b> は なん です か,What's that?,[sound:da6575acfab0df719bc8a035ee57ea96.mp3],"<img src=""0673b34eac56f60825be718588d3b140.jpg"" />",あれ,<b>あれ</b>は 何[なん]ですか。,<b>（　）</b>は 何[なん]ですか。
351,31,32,63,62,8,JLPT4,先,さき,"ahead, first",[sound:7943c7cd3e0e297df81b7bed1dd590c1.mp3],Noun,お<b>先</b>にどうぞ。,お<b>さき</b>に どうぞ,Please go ahead.,[sound:7bd68a0469698a101c6e78b9bdc1e1be.mp3],"<img src=""3070dc0d9931e962e57c8b84819f3305.jpg"" />",先[さき],お<b> 先[さき]</b>にどうぞ。,お<b>（　）</b>にどうぞ。
318,19,35,37,36,9,JLPT4,八日,ようか,"eight days, 8th of the month",[sound:d6b5bace52893db0a9142787001c8944.mp3],Noun,<b>八日</b>からイギリスに行きます。,<b>ようか</b> から いぎりす に いきます,I go to England on the eighth.,[sound:5c44500623a1465cf3fcbb281da60047.mp3],"<img src=""f5018f23a99b8b8981d009397c4dfd0c.jpg"" />",八日[ようか],<b> 八日[ようか]</b>からイギリスに 行[い]きます。,<b>（　）</b>からイギリスに 行[い]きます。
288,0,43,277,287,10,JLPT4,そば,そば,"side, vicinity",[sound:e2a81bfac83ecb63849bd140f82d61d7.mp3],Noun,<b>そば</b>にいて下さい。,<b>そば</b> に いて ください,Stay with me.,[sound:bcb2b116714c27bea6e9138321ecc195.mp3],"<img src=""e4945efac1a30e13d9f6851a714214ef.jpg"" />",そば,<b>そば</b>にいて 下[くだ]さい。,<b>（　）</b>にいて 下[くだ]さい。
